입원외래구분,코드,3단질병명,순위,환자수,내원일수,청구건수,요양급여비용총액,보험자부담금,환자부담금,연도,연령대,이상치컬럼
입원,Z38,출산장소에 따른 생존출생,1,270936,1246725,278670,110689414,109362154,1327260,2019,0_9,환자수
입원,J18,상세불명 병원체의 폐렴,2,152793,966400,188680,144622055,129045407,15576648,2019,0_9,환자수
입원,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,3,73195,238420,81057,38469339,34824652,3644687,2019,0_9,환자수
입원,J10,확인된 계절성 인플루엔자바이러스에 의한 인플루엔자,4,60772,278507,65596,49789835,45816470,3973365,2019,0_9,환자수
입원,J20,급성 기관지염,5,54389,259945,63409,36487063,32517550,3969513,2019,0_9,환자수
입원,B08,달리 분류되지 않은 피부 및 점막병변이 특징인 기타 바이러스감염,6,52604,235379,58054,40168852,36857406,3311446,2019,0_9,환자수
입원,R50,기타 및 원인미상의 열,7,47724,109908,53803,17808726,16231636,1577090,2019,0_9,환자수
입원,J03,급성 편도염,8,44335,192249,49717,23957554,21394341,2563213,2019,0_9,환자수
입원,J15,달리 분류되지 않은 세균성 폐렴,9,35998,228150,40264,37900827,33584401,4316426,2019,0_9,환자수
입원,J06,다발성 및 상세불명 부위의 급성 상기도감염,10,27111,55235,29654,9101583,8311040,790543,2019,0_9,환자수
입원,J21,급성 세기관지염,11,26980,143596,31339,24869344,22310217,2559127,2019,0_9,환자수
입원,J02,급성 인두염,12,26463,80582,28627,10799451,9687700,1111751,2019,0_9,환자수
입원,J11,바이러스가 확인되지 않은 인플루엔자,13,22183,88137,23588,14193088,13056191,1136897,2019,0_9,환자수
입원,A08,바이러스성 및 기타 명시된 장감염,14,20553,81914,22153,14936690,13700587,1236103,2019,0_9,환자수
입원,B34,상세불명 부위의 바이러스감염,15,19467,58333,20726,10812100,9721078,1091022,2019,0_9,환자수
입원,J12,달리 분류되지 않은 바이러스폐렴,16,19321,113511,21367,20296614,18200206,2096408,2019,0_9,환자수
입원,R56,달리 분류되지 않은 경련,17,19273,52660,23421,15412631,14177967,1234664,2019,0_9,환자수
입원,J35,편도 및 아데노이드의 만성 질환,18,15198,46739,15663,20062880,18604639,1458241,2019,0_9,환자수
입원,J05,급성 폐색성 후두염[크룹] 및 후두개염,19,14433,48655,15803,7824337,7049589,774748,2019,0_9,환자수
입원,P59,기타 및 상세불명의 원인으로 인한 신생아황달,20,13681,62878,14420,14347154,14238326,108828,2019,0_9,환자수
입원,H66,화농성 및 상세불명의 중이염,21,11965,51304,13161,7165535,6483400,682135,2019,0_9,환자수
입원,P07,달리 분류되지 않은 단기임신 및 저체중출산에 관련된 장애,22,11328,251472,14279,194401656,193119766,1281890,2019,0_9,환자수
입원,P22,신생아의 호흡곤란,23,9686,130749,19774,92355602,91632440,723162,2019,0_9,환자수
입원,N10,급성 세뇨관-간질신장염,24,9196,57872,10527,13015580,11567680,1447900,2019,0_9,환자수
입원,H50,기타 사시,25,8999,14958,9755,11741282,10807992,933290,2019,0_9,환자수
입원,N39,비뇨계통의 기타 장애,26,8277,42050,9182,8500757,7557547,943210,2019,0_9,환자수
입원,J45,천식,27,6632,34190,7531,5326127,4791506,534621,2019,0_9,환자수
입원,R10,복부 및 골반 통증,28,5611,8868,5742,1660257,1527216,133041,2019,0_9,환자수
입원,K40,사타구니탈장,29,5521,9715,5783,11572586,10908541,664045,2019,0_9,환자수
입원,M30,결절성 다발동맥염 및 관련 병태,30,5510,34992,6175,11982524,10810467,1172057,2019,0_9,환자수
입원,S42,어깨 및 위팔의 골절,31,4728,20857,5601,7182609,6403030,779579,2019,0_9,환자수
입원,K56,탈장이 없는 마비성 장폐색증 및 장폐색,32,4379,13832,4856,5374136,4922770,451366,2019,0_9,환자수
입원,J00,급성 비인두염[감기],33,4339,7177,4523,960067,888115,71952,2019,0_9,환자수
입원,J01,급성 부비동염,34,4260,22555,4693,3173504,2821693,351811,2019,0_9,환자수
입원,H65,비화농성 중이염,35,4104,9049,4466,3103804,2839226,264578,2019,0_9,환자수
입원,A49,상세불명 부위의 세균감염,36,3858,20154,4362,3041201,2745176,296025,2019,0_9,환자수
입원,K35,급성 충수염,37,3842,18479,4083,12035680,11125531,910149,2019,0_9,환자수
입원,J36,편도주위농양,38,3816,16951,4175,2156264,1906692,249572,2019,0_9,환자수
입원,J16,달리 분류되지 않은 기타 감염성 병원체에 의한 폐렴,39,3773,16751,5220,2426051,2133753,292298,2019,0_9,환자수
입원,G03,기타 및 상세불명의 원인에 의한 수막염,40,3772,16999,3954,3925153,3556196,368957,2019,0_9,환자수
입원,S52,아래팔의 골절,41,3735,14564,4419,4680818,4158183,522635,2019,0_9,환자수
입원,J04,급성 후두염 및 기관염,42,3715,14638,4054,1948918,1747593,201325,2019,0_9,환자수
입원,A04,기타 세균성 장감염,43,3398,16456,3553,2925404,2634719,290685,2019,0_9,환자수
입원,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,1,37767,145938,41775,25423966,21133246,4290720,2019,10_19,환자수
입원,J10,확인된 계절성 인플루엔자바이러스에 의한 인플루엔자,2,28056,135111,29769,23208533,20716259,2492274,2019,10_19,환자수
입원,K35,급성 충수염,3,11869,55448,12391,36282887,31421929,4860958,2019,10_19,환자수
입원,J18,상세불명 병원체의 폐렴,4,11806,79863,13260,14154741,12178378,1976363,2019,10_19,환자수
입원,J11,바이러스가 확인되지 않은 인플루엔자,5,8917,38628,9429,5998988,5333233,665755,2019,10_19,환자수
입원,S93,"발목 및 발 부위의 관절 및 인대의 탈구, 염좌 및 긴장",6,7898,61158,9076,9356223,7325423,2030800,2019,10_19,환자수
입원,J20,급성 기관지염,7,7744,42625,8695,5877730,5018075,859655,2019,10_19,환자수
입원,S62,손목 및 손부위의 골절,8,7551,36993,8440,9217084,7457230,1759854,2019,10_19,환자수
입원,S83,"무릎의 관절 및 인대의 탈구, 염좌 및 긴장",9,7506,69290,9496,18517763,13238808,5278955,2019,10_19,환자수
입원,R10,복부 및 골반 통증,10,6742,11644,6996,2894565,2405438,489127,2019,10_19,환자수
입원,S82,발목을 포함한 아래다리의 골절,11,6631,72268,8452,16060501,13130208,2930293,2019,10_19,환자수
입원,J03,급성 편도염,12,6390,30889,6920,4446706,3701067,745639,2019,10_19,환자수
입원,J35,편도 및 아데노이드의 만성 질환,13,6024,19109,6273,7809348,6820275,989073,2019,10_19,환자수
입원,S52,아래팔의 골절,14,4863,27388,5702,7836645,6650260,1186385,2019,10_19,환자수
입원,S92,발목을 제외한 발의 골절,15,4722,36864,5393,6564484,5311675,1252809,2019,10_19,환자수
입원,S02,두개골 및 안면골의 골절,16,4532,23633,5027,7056411,5396764,1659647,2019,10_19,환자수
입원,J34,코 및 비동의 기타 장애,17,4478,10541,4623,4100758,3234995,865763,2019,10_19,환자수
입원,J15,달리 분류되지 않은 세균성 폐렴,18,4399,30835,4832,5605097,4833799,771298,2019,10_19,환자수
입원,R50,기타 및 원인미상의 열,19,4363,11326,4562,2551471,2132511,418960,2019,10_19,환자수
입원,S42,어깨 및 위팔의 골절,20,4229,32760,5063,8623239,7065195,1558044,2019,10_19,환자수
입원,M51,기타 추간판장애,21,4119,23365,4754,3169169,2431950,737219,2019,10_19,환자수
입원,A08,바이러스성 및 기타 명시된 장감염,22,3544,12811,3801,2213378,1934199,279179,2019,10_19,환자수
입원,S33,"요추 및 골반의 관절 및 인대의 탈구, 염좌 및 긴장",23,3492,14828,3965,1453850,1154207,299643,2019,10_19,환자수
입원,R55,실신 및 허탈,24,3462,6602,3650,2518548,2045881,472667,2019,10_19,환자수
입원,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,1,40333,124220,42864,27621500,20803883,6817617,2019,20_29,환자수
입원,O80,단일자연분만,2,27218,86142,27617,39323595,38685526,638069,2019,20_29,환자수
입원,K64,치핵 및 항문주위정맥혈전증,3,24474,58065,25036,26701152,21125345,5575807,2019,20_29,환자수
입원,M51,기타 추간판장애,4,21212,120401,24817,17069060,12800332,4268728,2019,20_29,환자수
입원,S83,"무릎의 관절 및 인대의 탈구, 염좌 및 긴장",5,13020,130348,16490,36936865,25226423,11710442,2019,20_29,환자수
입원,J34,코 및 비동의 기타 장애,6,13010,29405,13352,12126600,9328264,2798336,2019,20_29,환자수
입원,K35,급성 충수염,7,12692,60017,13435,39456052,30959128,8496924,2019,20_29,환자수
입원,R10,복부 및 골반 통증,8,11084,17574,11542,4392679,3198390,1194289,2019,20_29,환자수
입원,S93,"발목 및 발 부위의 관절 및 인대의 탈구, 염좌 및 긴장",9,10576,94754,12576,16296781,12098294,4198487,2019,20_29,환자수
입원,O82,제왕절개에 의한 단일분만,10,10056,64486,10085,22376860,20242889,2133971,2019,20_29,환자수
입원,S33,"요추 및 골반의 관절 및 인대의 탈구, 염좌 및 긴장",11,9614,37579,10704,3951707,2997104,954603,2019,20_29,환자수
입원,J10,확인된 계절성 인플루엔자바이러스에 의한 인플루엔자,12,9072,37403,9534,7026547,5802079,1224468,2019,20_29,환자수
입원,S62,손목 및 손부위의 골절,13,8431,51541,9565,12289516,9142263,3147253,2019,20_29,환자수
입원,K60,항문 및 직장부의 열창 및 누공,14,8428,21215,8996,9533000,7567059,1965941,2019,20_29,환자수
입원,J35,편도 및 아데노이드의 만성 질환,15,8123,24803,8496,9569743,7566543,2003200,2019,20_29,환자수
입원,M54,등통증,16,6363,21160,7208,2387488,1810546,576942,2019,20_29,환자수
입원,G47,수면장애,17,6275,14134,8237,5569599,4402284,1167315,2019,20_29,환자수
입원,S82,발목을 포함한 아래다리의 골절,18,6097,74329,7907,17369215,13023496,4345719,2019,20_29,환자수
입원,K61,항문 및 직장부의 농양,19,6026,11511,6389,5827458,4720015,1107443,2019,20_29,환자수
입원,R50,기타 및 원인미상의 열,20,5778,12889,6033,3388191,2515748,872443,2019,20_29,환자수
입원,J03,급성 편도염,21,5546,22991,5932,3936433,2997129,939304,2019,20_29,환자수
입원,O60,조기진통 및 분만,22,5485,55723,7040,10841421,9469489,1371932,2019,20_29,환자수
입원,S02,두개골 및 안면골의 골절,23,5448,31255,6110,10392460,7378432,3014028,2019,20_29,환자수
입원,O33,알려진 또는 의심되는 불균형에 대한 산모관리,24,5249,33054,5254,11353589,10269775,1083814,2019,20_29,환자수
입원,O83,기타 보조단일분만,25,5125,17539,5171,7901168,7778253,122915,2019,20_29,환자수
입원,S92,발목을 제외한 발의 골절,26,5013,45504,5911,8335012,6186259,2148753,2019,20_29,환자수
입원,K29,위염 및 십이지장염,27,4836,8508,5023,1829182,1388368,440814,2019,20_29,환자수
입원,D27,난소의 양성 신생물,28,4776,22526,4908,14760811,11531174,3229637,2019,20_29,환자수
입원,N10,급성 세뇨관-간질신장염,29,4565,28155,5098,6424109,4823295,1600814,2019,20_29,환자수
입원,R42,어지럼증 및 어지럼,30,4487,6731,4602,1968538,1386073,582465,2019,20_29,환자수
입원,N83,"난소, 난관 및 넓은인대의 비염증성 장애",31,4449,17451,4660,10884904,8454806,2430098,2019,20_29,환자수
입원,N20,신장 및 요관의 결석,32,4361,9099,4971,4638311,3484431,1153880,2019,20_29,환자수
입원,O34,골반기관의 알려진 또는 의심되는 이상에 대한 산모관리,33,4293,29166,4464,9475377,8509706,965671,2019,20_29,환자수
입원,O65,산모골반이상으로 인한 난산,34,4225,28811,4235,9363846,8461457,902389,2019,20_29,환자수
입원,M23,무릎의 내부장애,35,4109,26166,4679,6328670,4637909,1690761,2019,20_29,환자수
