입원외래구분,코드,3단질병명,순위,환자수,내원일수,청구건수,요양급여비용총액,보험자부담금,환자부담금,연도,연령대
입원,Z38,출산장소에 따른 생존출생,1,270936,1246725,278670,110689414,109362154,1327260,2019,0_9
입원,J18,상세불명 병원체의 폐렴,2,152793,966400,188680,144622055,129045407,15576648,2019,0_9
입원,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,3,73195,238420,81057,38469339,34824652,3644687,2019,0_9
입원,J10,확인된 계절성 인플루엔자바이러스에 의한 인플루엔자,4,60772,278507,65596,49789835,45816470,3973365,2019,0_9
입원,J20,급성 기관지염,5,54389,259945,63409,36487063,32517550,3969513,2019,0_9
입원,B08,달리 분류되지 않은 피부 및 점막병변이 특징인 기타 바이러스감염,6,52604,235379,58054,40168852,36857406,3311446,2019,0_9
입원,R50,기타 및 원인미상의 열,7,47724,109908,53803,17808726,16231636,1577090,2019,0_9
입원,J03,급성 편도염,8,44335,192249,49717,23957554,21394341,2563213,2019,0_9
입원,J15,달리 분류되지 않은 세균성 폐렴,9,35998,228150,40264,37900827,33584401,4316426,2019,0_9
입원,J06,다발성 및 상세불명 부위의 급성 상기도감염,10,27111,55235,29654,9101583,8311040,790543,2019,0_9
입원,J21,급성 세기관지염,11,26980,143596,31339,24869344,22310217,2559127,2019,0_9
입원,J02,급성 인두염,12,26463,80582,28627,10799451,9687700,1111751,2019,0_9
입원,J11,바이러스가 확인되지 않은 인플루엔자,13,22183,88137,23588,14193088,13056191,1136897,2019,0_9
입원,A08,바이러스성 및 기타 명시된 장감염,14,20553,81914,22153,14936690,13700587,1236103,2019,0_9
입원,B34,상세불명 부위의 바이러스감염,15,19467,58333,20726,10812100,9721078,1091022,2019,0_9
입원,J12,달리 분류되지 않은 바이러스폐렴,16,19321,113511,21367,20296614,18200206,2096408,2019,0_9
입원,R56,달리 분류되지 않은 경련,17,19273,52660,23421,15412631,14177967,1234664,2019,0_9
입원,J35,편도 및 아데노이드의 만성 질환,18,15198,46739,15663,20062880,18604639,1458241,2019,0_9
입원,J05,급성 폐색성 후두염[크룹] 및 후두개염,19,14433,48655,15803,7824337,7049589,774748,2019,0_9
입원,P59,기타 및 상세불명의 원인으로 인한 신생아황달,20,13681,62878,14420,14347154,14238326,108828,2019,0_9
입원,H66,화농성 및 상세불명의 중이염,21,11965,51304,13161,7165535,6483400,682135,2019,0_9
입원,P07,달리 분류되지 않은 단기임신 및 저체중출산에 관련된 장애,22,11328,251472,14279,194401656,193119766,1281890,2019,0_9
입원,P22,신생아의 호흡곤란,23,9686,130749,19774,92355602,91632440,723162,2019,0_9
입원,N10,급성 세뇨관-간질신장염,24,9196,57872,10527,13015580,11567680,1447900,2019,0_9
입원,H50,기타 사시,25,8999,14958,9755,11741282,10807992,933290,2019,0_9
입원,N39,비뇨계통의 기타 장애,26,8277,42050,9182,8500757,7557547,943210,2019,0_9
입원,J45,천식,27,6632,34190,7531,5326127,4791506,534621,2019,0_9
입원,R10,복부 및 골반 통증,28,5611,8868,5742,1660257,1527216,133041,2019,0_9
입원,K40,사타구니탈장,29,5521,9715,5783,11572586,10908541,664045,2019,0_9
입원,M30,결절성 다발동맥염 및 관련 병태,30,5510,34992,6175,11982524,10810467,1172057,2019,0_9
입원,S42,어깨 및 위팔의 골절,31,4728,20857,5601,7182609,6403030,779579,2019,0_9
입원,K56,탈장이 없는 마비성 장폐색증 및 장폐색,32,4379,13832,4856,5374136,4922770,451366,2019,0_9
입원,J00,급성 비인두염[감기],33,4339,7177,4523,960067,888115,71952,2019,0_9
입원,J01,급성 부비동염,34,4260,22555,4693,3173504,2821693,351811,2019,0_9
입원,H65,비화농성 중이염,35,4104,9049,4466,3103804,2839226,264578,2019,0_9
입원,A49,상세불명 부위의 세균감염,36,3858,20154,4362,3041201,2745176,296025,2019,0_9
