입원외래구분,코드,3단질병명,순위,환자수,내원일수,청구건수,요양급여비용총액,보험자부담금
입원,Z38,출산장소에 따른 생존출생,1,251219,1170516,257498,102296209,101042345
입원,J18,상세불명 병원체의 폐렴,2,73066,414538,86915,66500191,58258111
입원,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,3,41816,144258,46575,24856963,22029114
입원,J10,확인된 계절성 인플루엔자바이러스에 의한 인플루엔자,4,39133,160946,41505,30182876,27670933
입원,R50,기타 및 원인미상의 열,5,28437,69227,32615,12594593,11271922
입원,J03,급성 편도염,6,27595,113377,31180,15764903,13752969
입원,J20,급성 기관지염,7,26360,124716,29986,18826428,16314673
입원,J15,달리 분류되지 않은 세균성 폐렴,8,18062,105807,20124,18416069,16135983
입원,J02,급성 인두염,9,14844,48513,16105,6908811,6054288
입원,P59,기타 및 상세불명의 원인으로 인한 신생아황달,10,12469,58137,13164,14025892,13908267
입원,Z11,감염성 및 기생충성 질환에 대한 특수선별검사,11,12410,38264,14134,2001287,1860284
입원,J11,바이러스가 확인되지 않은 인플루엔자,12,12371,42906,12943,7299775,6643929
입원,J21,급성 세기관지염,13,11891,55945,13741,10441725,9263217
입원,A08,바이러스성 및 기타 명시된 장감염,14,11832,47369,12792,9669969,8794764
입원,R56,달리 분류되지 않은 경련,15,10658,26552,13310,8882673,8115474
입원,P07,달리 분류되지 않은 단기임신 및 저체중출산에 관련된 장애,16,10557,235998,13380,191541501,190173679
입원,J06,다발성 및 상세불명 부위의 급성 상기도감염,17,9981,20770,11230,3574295,3207148
입원,B08,달리 분류되지 않은 피부 및 점막병변이 특징인 기타 바이러스감염,18,9861,35478,10721,6145751,5515764
입원,J35,편도 및 아데노이드의 만성 질환,19,9558,29005,9844,14537349,13422926
입원,B34,상세불명 부위의 바이러스감염,20,8603,21714,9856,4681457,4228890
입원,H50,기타 사시,21,8249,14248,8436,12210547,11154398
입원,N10,급성 세뇨관-간질신장염,22,8233,53303,10474,12655473,11207769
입원,P22,신생아의 호흡곤란,23,8148,122987,15437,95077096,94335061
입원,N39,비뇨계통의 기타 장애,24,7608,40501,9401,8454021,7495785
입원,J12,달리 분류되지 않은 바이러스폐렴,25,6914,36688,7588,7346425,6553273
입원,J05,급성 폐색성 후두염[크룹] 및 후두개염,26,5591,16218,6120,2835202,2523012
입원,H66,화농성 및 상세불명의 중이염,27,4778,17923,5215,2711100,2386041
입원,K40,사타구니탈장,28,4671,7840,4933,10850086,10154261
입원,S42,어깨 및 위팔의 골절,29,4005,16135,4778,6478189,5732657
입원,A04,기타 세균성 장감염,30,3695,20783,4042,4320625,3828549
입원,R10,복부 및 골반 통증,31,3634,5762,3850,1250772,1145950
입원,S52,아래팔의 골절,32,3479,13050,4148,4666261,4089634
입원,M30,결절성 다발동맥염 및 관련 병태,33,3385,21486,4464,7518231,6792701
입원,S01,머리의 열린상처,34,3205,4311,3268,1444506,1271939
입원,K35,급성 충수염,35,3064,14589,3343,10671556,9279293
입원,J45,천식,36,2951,14831,3304,2515225,2213204
입원,S06,두개내손상,37,2919,8395,3490,3160738,2897811
입원,A49,상세불명 부위의 세균감염,38,2865,12002,3273,1935865,1724872
입원,Q21,심장중격의 선천기형,39,2680,34983,4022,49855929,48036807
입원,S53,"팔꿈치의 관절 및 인대의 탈구, 염좌 및 긴장",40,2547,2953,2728,609189,571930
입원,R62,기대되는 정상 생리학적 발달의 결여,41,2488,96149,52289,16384057,14998402
입원,Z03,"의심되는 질병 및 병태를 위한 의학적 관찰 및 평가, 배제된",42,2469,5984,2620,1377246,1327438
입원,G40,뇌전증,43,2457,27460,9813,10392547,9347618
입원,Q10,"눈꺼풀, 눈물기관 및 안와의 선천기형",44,2425,3820,2498,3946197,3627549
입원,K56,탈장이 없는 마비성 장폐색증 및 장폐색,45,2398,8489,2795,3986238,3665374
입원,J01,급성 부비동염,46,2215,14190,2516,2105165,1798391
입원,R11,구역 및 구토,47,2161,4226,2327,1015096,936276
입원,L50,두드러기,48,1967,4441,2087,699185,620935
입원,J36,편도주위농양,49,1872,8324,2006,1144825,989767
입원,E86,용적고갈,50,1841,4552,2024,895186,801163
입원,H02,눈꺼풀의 기타 장애,51,1799,2832,1840,2634680,2414328
입원,S00,머리의 표재성 손상,52,1762,2073,1793,430721,402105
입원,P24,신생아흡인증후군,53,1741,11732,1790,6836051,6793582
입원,H65,비화농성 중이염,54,1719,3970,1801,1447109,1310851
입원,I88,비특이성 림프절염,55,1678,9224,1951,2146472,1882227
입원,E34,기타 내분비장애,56,1647,3939,1759,1276456,1159247
입원,K59,기타 기능성 장장애,57,1645,2943,1707,663115,604173
입원,J00,급성 비인두염[감기],58,1590,2664,1696,378370,341153
입원,J39,상기도의 기타 질환,59,1518,6311,1734,1455082,1278098
입원,J04,급성 후두염 및 기관염,59,1518,5887,1611,869519,756171
입원,S02,두개골 및 안면골의 골절,61,1491,5079,1602,1533749,1355504
입원,L04,급성 림프절염,62,1485,8380,1683,1840063,1622662
