입원외래구분,코드,3단질병명,순위,환자수,내원일수,청구건수,요양급여비용총액,보험자부담금,환자부담금,연도,연령대
입원,Z38,출산장소에 따른 생존출생,1,270936.0,1246725.0,278670.0,110689414.0,109362154.0,1327260,2019,0_9
입원,J18,상세불명 병원체의 폐렴,2,63859.0,966400.0,106888.625,144622055.0,129045407.0,15576648,2019,0_9
입원,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,3,42242.75,207764.625,44706.0,38469339.0,34356153.625,3644687,2019,0_9
입원,J10,확인된 계절성 인플루엔자바이러스에 의한 인플루엔자,4,14398.0,66804.5,15274.0,11975140.0,9914673.5,3973365,2019,0_9
입원,J20,급성 기관지염,5,8215.375,58091.5,8937.625,10328283.25,7762009.125,3969513,2019,0_9
입원,B08,달리 분류되지 않은 피부 및 점막병변이 특징인 기타 바이러스감염,6,42647.75,173837.5,45912.75,33810268.0,30832608.25,3311446,2019,0_9
입원,R50,기타 및 원인미상의 열,7,13063.875,59729.625,15739.375,15945627.75,11796501.875,1577090,2019,0_9
입원,J03,급성 편도염,8,6062.5,31844.5,6863.5,5519541.5,4596354.5,2563213,2019,0_9
입원,J15,달리 분류되지 않은 세균성 폐렴,9,14133.0,228150.0,24634.0,37900827.0,33584401.0,4316426,2019,0_9
입원,J06,다발성 및 상세불명 부위의 급성 상기도감염,10,3740.375,8903.375,4182.5,1655628.625,1252978.125,790543,2019,0_9
입원,J21,급성 세기관지염,11,931.5,7194.0,1018.5,1494320.0,1146015.5,2559127,2019,0_9
입원,J02,급성 인두염,12,2587.75,9896.25,2757.5,1311161.0,991692.0,1111751,2019,0_9
입원,J11,바이러스가 확인되지 않은 인플루엔자,13,5125.25,21916.625,5359.625,3413779.875,2823759.875,1136897,2019,0_9
입원,A08,바이러스성 및 기타 명시된 장감염,14,3905.5,8707.125,4370.875,2086184.5,1562643.25,1236103,2019,0_9
입원,B34,상세불명 부위의 바이러스감염,15,2194.875,7955.625,2912.75,1934126.0,1613696.5,1091022,2019,0_9
입원,J12,달리 분류되지 않은 바이러스폐렴,16,2346.0,29409.5,3227.5,11214072.5,8814900.5,2096408,2019,0_9
입원,R56,달리 분류되지 않은 경련,17,3238.625,14279.375,3899.25,4568115.5,3403851.625,1234664,2019,0_9
입원,J35,편도 및 아데노이드의 만성 질환,18,11726.125,34369.5,12113.625,17569812.75,14352869.125,1458241,2019,0_9
입원,J05,급성 폐색성 후두염[크룹] 및 후두개염,19,568.0,3202.5,672.5,1290133.0,972505.5,774748,2019,0_9
입원,P59,기타 및 상세불명의 원인으로 인한 신생아황달,20,13681.0,62878.0,14420.0,14347154.0,14238326.0,108828,2019,0_9
입원,H66,화농성 및 상세불명의 중이염,21,5942.5,26691.875,6454.125,7165535.0,6483400.0,682135,2019,0_9
입원,P07,달리 분류되지 않은 단기임신 및 저체중출산에 관련된 장애,22,11328.0,247212.375,14279.0,194401656.0,193119766.0,1281890,2019,0_9
입원,P22,신생아의 호흡곤란,23,9686.0,130749.0,19774.0,92355602.0,91632440.0,723162,2019,0_9
입원,N10,급성 세뇨관-간질신장염,24,9196.0,57872.0,10527.0,13015580.0,11567680.0,1447900,2019,0_9
입원,H50,기타 사시,25,5522.75,9531.625,5641.5,7854145.25,7243155.375,933290,2019,0_9
입원,N39,비뇨계통의 기타 장애,26,8277.0,42050.0,9182.0,8500757.0,7557547.0,943210,2019,0_9
입원,J45,천식,27,6000.875,34190.0,7531.0,5326127.0,4791506.0,534621,2019,0_9
입원,R10,복부 및 골반 통증,28,5611.0,8868.0,5742.0,1660257.0,1527216.0,133041,2019,0_9
입원,K40,사타구니탈장,29,5521.0,9715.0,5783.0,11572586.0,10908541.0,664045,2019,0_9
입원,M30,결절성 다발동맥염 및 관련 병태,30,5510.0,34992.0,6175.0,11982524.0,10810467.0,1172057,2019,0_9
입원,S42,어깨 및 위팔의 골절,31,4728.0,20857.0,5601.0,7182609.0,6403030.0,779579,2019,0_9
입원,K56,탈장이 없는 마비성 장폐색증 및 장폐색,32,4379.0,13832.0,4856.0,5374136.0,4922770.0,451366,2019,0_9
입원,J00,급성 비인두염[감기],33,1607.25,2513.75,1684.5,393388.25,297770.25,71952,2019,0_9
