입원외래구분,코드,3단질병명,순위,환자수,내원일수,청구건수,요양급여비용총액,보험자부담금,환자부담금,연도,연령대,이상치컬럼
입원,A02,기타 살모넬라감염,96,937,5800,974,1279415,1140298,139117,2019,0_9,환자수
입원,A02,기타 살모넬라감염,83,987,6117,1126,1357848,1196339,161509,2020,0_9,환자수
입원,A02,기타 살모넬라감염,56,1510,8552,1667,1994870,1749998,244872,2022,0_9,환자수
입원,A02,기타 살모넬라감염,75,1335,7664,1471,1842869,1633446,209423,2023,0_9,환자수
입원,A02,기타 살모넬라감염,96,937,5800,974,1279415,1140298,139117,2019,0_9,내원일수
입원,A02,기타 살모넬라감염,83,987,6117,1126,1357848,1196339,161509,2020,0_9,내원일수
입원,A02,기타 살모넬라감염,56,1510,8552,1667,1994870,1749998,244872,2022,0_9,내원일수
입원,A02,기타 살모넬라감염,75,1335,7664,1471,1842869,1633446,209423,2023,0_9,내원일수
입원,A02,기타 살모넬라감염,83,987,6117,1126,1357848,1196339,161509,2020,0_9,청구건수
입원,A02,기타 살모넬라감염,56,1510,8552,1667,1994870,1749998,244872,2022,0_9,청구건수
입원,A02,기타 살모넬라감염,75,1335,7664,1471,1842869,1633446,209423,2023,0_9,청구건수
입원,A02,기타 살모넬라감염,56,1510,8552,1667,1994870,1749998,244872,2022,0_9,요양급여비용총액
입원,A02,기타 살모넬라감염,75,1335,7664,1471,1842869,1633446,209423,2023,0_9,요양급여비용총액
입원,A02,기타 살모넬라감염,56,1510,8552,1667,1994870,1749998,244872,2022,0_9,보험자부담금
입원,A02,기타 살모넬라감염,75,1335,7664,1471,1842869,1633446,209423,2023,0_9,보험자부담금
입원,A02,기타 살모넬라감염,408,463,3281,539,1311622,1031051,280571,2023,60_69,환자부담금
입원,A02,기타 살모넬라감염,375,398,3387,470,1322902,1034402,288500,2023,70_79,환자부담금
입원,A04,기타 세균성 장감염,29,5089,26614,5515,5994712,5388553,606159,2022,0_9,환자수
입원,A04,기타 세균성 장감염,32,5707,32804,6297,7801471,7024954,776517,2023,0_9,환자수
입원,A04,기타 세균성 장감염,67,3577,57168,4842,13317294,10512846,2804448,2019,80_,내원일수
입원,A04,기타 세균성 장감염,67,3269,58254,4859,14320831,11326201,2994630,2020,80_,내원일수
